@RELATION wine

@ATTRIBUTE AcidezFixa	{baixa,media,alta}
@ATTRIBUTE AcidezVolatil	{baixissima,baixa,mediabaixa,media,mediaalta,alta,altissima}
@ATTRIBUTE AcidoCitrico	{baixa,alta}
@ATTRIBUTE AcucarResidual	{baixa,mediabaixa,mediaalta,alta}
@ATTRIBUTE Cloreto	{baixa,media,alta}
@ATTRIBUTE DioxidoEnxofreLivre	{baixa,alta}
@ATTRIBUTE DioxidoEnxofreTotal	{baixa,alta}
@ATTRIBUTE Densidade	{baixa,alta}
@ATTRIBUTE PH	{baixa,alta}
@ATTRIBUTE Sulfato	{baixa,mediabaixa,media,mediaalta,alta}
@ATTRIBUTE Alcool	{baixa,media,alta}
@ATTRIBUTE Classe	{1,2,3,4,5,6,7,8,9}


@DATA
media,mediabaixa,baixa,mediabaixa,media,alta,baixa,alta,baixa,mediabaixa,baixa,5
media,mediabaixa,baixa,mediabaixa,media,alta,alta,alta,baixa,mediabaixa,baixa,5
media,baixa,alta,baixa,baixa,baixa,baixa,alta,baixa,mediabaixa,media,7
media,mediabaixa,baixa,baixa,media,baixa,baixa,baixa,baixa,media,baixa,5
baixa,mediabaixa,baixa,mediabaixa,baixa,baixa,baixa,alta,alta,baixa,baixa,4
media,baixa,alta,baixa,media,baixa,baixa,alta,baixa,media,baixa,6
media,baixissima,baixa,baixa,baixa,baixa,baixa,baixa,alta,baixa,baixa,6
media,baixa,baixa,baixa,baixa,baixa,baixa,alta,alta,mediabaixa,baixa,5
media,baixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,mediabaixa,baixa,5
media,mediabaixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,5
baixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,alta,mediabaixa,baixa,6
baixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,mediabaixa,baixa,5
media,baixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,mediabaixa,baixa,5
media,baixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,mediabaixa,baixa,5
baixa,mediabaixa,baixa,baixa,baixa,baixa,baixa,alta,alta,mediabaixa,baixa,5
media,mediabaixa,baixa,baixa,baixa,baixa,baixa,baixa,alta,mediabaixa,baixa,6
baixa,mediabaixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,mediabaixa,media,5
baixa,mediabaixa,baixa,baixa,baixa,baixa,baixa,baixa,alta,mediabaixa,media,6
media,mediabaixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,mediabaixa,baixa,5
baixa,mediabaixa,baixa,mediaalta,baixa,alta,baixa,alta,alta,baixa,baixa,6
baixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,alta,mediabaixa,baixa,5
media,mediabaixa,baixa,mediabaixa,baixa,baixa,baixa,alta,alta,mediabaixa,baixa,6
media,mediabaixa,baixa,baixa,baixa,baixa,baixa,alta,alta,mediabaixa,media,6
media,baixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,mediabaixa,baixa,7
baixa,mediaalta,baixa,baixa,media,baixa,baixa,baixa,alta,baixa,baixa,4
baixa,baixa,baixa,mediabaixa,baixa,baixa,baixa,alta,baixa,mediabaixa,media,5
baixa,baixa,baixa,mediabaixa,baixa,baixa,baixa,alta,baixa,mediabaixa,media,5
media,mediabaixa,baixa,baixa,baixa,baixa,baixa,alta,baixa,baixa,baixa,4
media,mediabaixa,baixa,baixa,media,baixa,baixa,baixa,baixa,mediabaixa,media,6
media,mediabaixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,media,media,5
baixa,mediabaixa,baixa,baixa,baixa,baixa,baixa,baixa,alta,baixa,baixa,5
baixa,mediabaixa,baixa,baixa,baixa,baixa,baixa,baixa,alta,mediabaixa,media,4
media,media,baixa,baixa,baixa,baixa,baixa,alta,baixa,mediabaixa,baixa,5
media,baixa,alta,baixa,baixa,baixa,baixa,alta,baixa,mediabaixa,baixa,5
baixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,mediabaixa,baixa,5
baixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,mediabaixa,baixa,5
media,mediabaixa,baixa,baixa,baixa,baixa,baixa,alta,baixa,mediabaixa,baixa,5
baixa,mediabaixa,baixa,baixa,baixa,baixa,baixa,baixa,alta,mediabaixa,baixa,6
baixa,mediabaixa,baixa,baixa,baixa,baixa,baixa,baixa,alta,mediabaixa,baixa,6
media,baixa,baixa,baixa,baixa,baixa,baixa,alta,baixa,mediabaixa,baixa,5
media,mediabaixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,mediabaixa,media,6
media,mediabaixa,baixa,mediabaixa,baixa,baixa,baixa,alta,baixa,baixa,baixa,5
media,baixa,alta,mediabaixa,baixa,baixa,baixa,alta,baixa,mediabaixa,baixa,5
media,mediabaixa,baixa,mediabaixa,baixa,alta,baixa,alta,baixa,mediabaixa,baixa,5
media,mediabaixa,baixa,baixa,baixa,baixa,baixa,alta,alta,mediabaixa,baixa,5
baixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,alta,mediabaixa,baixa,6
media,baixa,baixa,baixa,baixa,baixa,baixa,alta,alta,mediabaixa,baixa,5
media,mediabaixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,mediabaixa,baixa,5
media,mediabaixa,baixa,baixa,baixa,baixa,baixa,baixa,alta,mediabaixa,baixa,7
baixa,media,baixa,baixa,baixa,baixa,baixa,baixa,alta,mediabaixa,baixa,5
baixa,mediabaixa,baixa,mediabaixa,baixa,baixa,baixa,baixa,alta,baixa,media,5
baixa,mediabaixa,baixa,mediabaixa,baixa,baixa,baixa,baixa,alta,baixa,media,5
media,mediabaixa,baixa,baixa,baixa,baixa,baixa,baixa,alta,mediabaixa,baixa,5
baixa,mediabaixa,baixa,baixa,baixa,baixa,baixa,baixa,alta,mediabaixa,media,5
media,baixa,alta,baixa,baixa,baixa,baixa,alta,baixa,mediabaixa,media,5
media,mediabaixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,mediabaixa,media,6
media,mediabaixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,mediabaixa,baixa,6
media,mediabaixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,5
media,mediabaixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,5
media,mediabaixa,baixa,baixa,baixa,baixa,baixa,alta,baixa,baixa,baixa,4
media,baixa,alta,baixa,baixa,baixa,baixa,alta,baixa,mediabaixa,baixa,5
media,baixa,alta,baixa,baixa,baixa,baixa,alta,alta,mediabaixa,media,5
media,baixa,alta,baixa,baixa,baixa,baixa,alta,alta,mediabaixa,media,5
baixa,media,baixa,baixa,baixa,baixa,baixa,baixa,alta,mediabaixa,media,6
baixa,media,baixa,baixa,baixa,baixa,baixa,baixa,alta,baixa,media,5
media,mediabaixa,baixa,baixa,baixa,baixa,baixa,alta,baixa,media,baixa,4
baixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,alta,mediabaixa,baixa,5
media,baixa,alta,baixa,alta,baixa,baixa,alta,baixa,media,baixa,5
baixa,mediabaixa,baixa,baixa,baixa,baixa,baixa,alta,baixa,mediabaixa,baixa,5
baixa,mediabaixa,baixa,baixa,media,baixa,baixa,alta,baixa,media,baixa,5
baixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,alta,mediabaixa,media,6
baixa,mediabaixa,baixa,baixa,baixa,baixa,baixa,baixa,alta,mediabaixa,media,5
media,mediabaixa,baixa,baixa,baixa,baixa,baixa,alta,baixa,alta,baixa,6
media,mediabaixa,baixa,baixa,baixa,baixa,baixa,baixa,alta,mediabaixa,baixa,5
media,baixa,baixa,baixa,baixa,baixa,baixa,alta,baixa,media,baixa,5
baixa,mediabaixa,baixa,baixa,baixa,baixa,baixa,alta,alta,baixa,baixa,5
media,mediabaixa,baixa,baixa,baixa,alta,baixa,baixa,baixa,mediabaixa,baixa,5
media,mediabaixa,baixa,baixa,baixa,baixa,baixa,alta,baixa,alta,baixa,6
media,mediabaixa,baixa,baixa,baixa,baixa,baixa,alta,baixa,alta,baixa,5
media,mediabaixa,baixa,baixa,baixa,baixa,baixa,baixa,alta,mediabaixa,baixa,5
baixa,mediaalta,baixa,baixa,baixa,alta,baixa,baixa,alta,baixa,media,4
baixa,mediabaixa,baixa,baixa,baixa,baixa,baixa,baixa,alta,mediabaixa,media,6
baixa,media,baixa,baixa,baixa,baixa,baixa,baixa,alta,mediabaixa,media,5
baixa,mediabaixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,mediabaixa,baixa,5
media,media,baixa,baixa,baixa,baixa,baixa,baixa,alta,mediabaixa,baixa,5
media,mediabaixa,baixa,baixa,baixa,baixa,baixa,alta,baixa,mediabaixa,baixa,6
media,mediabaixa,baixa,baixa,baixa,baixa,baixa,alta,alta,mediabaixa,media,6
media,mediabaixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,mediabaixa,media,6
media,mediabaixa,baixa,baixa,baixa,baixa,baixa,alta,baixa,mediabaixa,baixa,6
media,mediabaixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,5
baixa,mediabaixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,5
media,mediabaixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,5
media,baixa,alta,baixa,alta,baixa,baixa,alta,baixa,media,baixa,5
baixa,mediabaixa,baixa,baixa,baixa,baixa,baixa,alta,alta,mediabaixa,baixa,5
media,baixa,alta,baixa,baixa,baixa,baixa,alta,baixa,mediabaixa,baixa,6
media,media,alta,baixa,baixa,alta,alta,alta,baixa,mediabaixa,baixa,5
media,mediabaixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,mediabaixa,baixa,5
media,mediabaixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,mediabaixa,baixa,5
media,mediabaixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,mediabaixa,baixa,5
media,baixa,baixa,baixa,baixa,baixa,baixa,alta,baixa,mediabaixa,baixa,6
media,mediabaixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,mediabaixa,baixa,5
media,baixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,mediabaixa,media,6
media,mediabaixa,baixa,baixa,baixa,baixa,baixa,alta,alta,mediabaixa,baixa,6
media,mediabaixa,baixa,baixa,baixa,baixa,baixa,alta,baixa,baixa,baixa,6
media,mediabaixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,mediabaixa,media,6
baixa,mediabaixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,mediabaixa,baixa,6
baixa,mediaalta,baixa,baixa,media,baixa,baixa,baixa,baixa,mediabaixa,baixa,5
media,mediabaixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,mediabaixa,media,6
baixa,mediabaixa,baixa,baixa,baixa,baixa,baixa,alta,alta,baixa,baixa,5
media,mediabaixa,baixa,baixa,baixa,baixa,baixa,alta,alta,baixa,baixa,5
media,mediabaixa,baixa,baixa,baixa,baixa,baixa,baixa,alta,baixa,baixa,5
media,mediabaixa,baixa,baixa,baixa,baixa,baixa,alta,baixa,mediabaixa,baixa,5
media,alta,baixa,baixa,baixa,baixa,baixa,baixa,alta,baixa,media,5
media,alta,baixa,baixa,baixa,baixa,baixa,baixa,alta,baixa,media,5
media,mediabaixa,baixa,baixa,baixa,baixa,baixa,baixa,alta,mediabaixa,media,7
baixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,alta,mediabaixa,baixa,5
media,media,alta,baixa,baixa,baixa,baixa,baixa,baixa,mediabaixa,baixa,5
baixa,mediabaixa,baixa,baixa,baixa,baixa,baixa,baixa,alta,mediabaixa,media,5
baixa,mediabaixa,baixa,baixa,baixa,baixa,baixa,baixa,alta,mediabaixa,media,5
baixa,mediabaixa,baixa,baixa,baixa,baixa,baixa,baixa,alta,mediabaixa,baixa,6
media,mediaalta,baixa,baixa,baixa,baixa,baixa,baixa,baixa,mediabaixa,baixa,6
media,media,baixa,baixa,baixa,baixa,baixa,baixa,baixa,mediabaixa,baixa,5
media,mediabaixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,mediabaixa,baixa,5
baixa,baixa,baixa,baixa,baixa,baixa,baixa,alta,alta,mediabaixa,baixa,5
media,mediabaixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,mediabaixa,baixa,5
media,mediabaixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,mediabaixa,baixa,5
media,media,baixa,baixa,baixa,baixa,baixa,baixa,baixa,mediabaixa,baixa,5
media,mediabaixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,mediabaixa,baixa,5
baixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,alta,mediabaixa,alta,6
baixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,mediabaixa,baixa,5
baixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,alta,mediabaixa,alta,6
media,mediabaixa,alta,baixa,baixa,baixa,baixa,baixa,baixa,mediabaixa,baixa,5
baixa,mediabaixa,baixa,baixa,baixa,baixa,baixa,baixa,alta,baixa,baixa,5
media,mediabaixa,baixa,baixa,media,baixa,baixa,baixa,baixa,mediabaixa,baixa,5
baixa,mediabaixa,baixa,baixa,baixa,baixa,baixa,baixa,alta,mediabaixa,media,6
media,baixa,baixa,baixa,baixa,baixa,baixa,alta,alta,mediabaixa,media,6
baixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,media,6
media,mediabaixa,alta,mediabaixa,alta,baixa,baixa,alta,baixa,alta,baixa,4
media,mediabaixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,mediabaixa,media,5
media,mediabaixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,mediabaixa,media,5
baixa,baixa,baixa,mediabaixa,baixa,baixa,baixa,alta,alta,mediabaixa,media,5
baixa,baixa,baixa,mediabaixa,baixa,baixa,baixa,alta,alta,mediabaixa,media,5
baixa,baixa,baixa,mediabaixa,baixa,baixa,baixa,alta,alta,mediabaixa,media,5
baixa,baixa,baixa,mediabaixa,baixa,baixa,baixa,alta,alta,mediabaixa,media,5
baixa,mediabaixa,baixa,baixa,baixa,baixa,baixa,alta,alta,baixa,baixa,5
baixa,mediabaixa,baixa,baixa,baixa,baixa,baixa,baixa,alta,mediabaixa,baixa,6
media,media,baixa,baixa,baixa,baixa,baixa,baixa,baixa,mediabaixa,baixa,5
media,mediabaixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,media,baixa,4
media,mediabaixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,mediabaixa,baixa,6
baixa,mediabaixa,baixa,mediabaixa,baixa,baixa,baixa,alta,baixa,baixa,baixa,5
baixa,mediabaixa,baixa,mediabaixa,baixa,baixa,baixa,alta,baixa,baixa,baixa,5
media,mediabaixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,mediabaixa,baixa,5
baixa,mediabaixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,media,5
baixa,mediabaixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,4
baixa,mediabaixa,baixa,baixa,baixa,baixa,baixa,baixa,alta,mediabaixa,media,6
media,mediabaixa,baixa,baixa,media,baixa,baixa,baixa,baixa,mediaalta,baixa,5
media,media,baixa,baixa,baixa,baixa,baixa,alta,baixa,baixa,baixa,4
media,baixa,baixa,baixa,baixa,baixa,baixa,alta,baixa,mediabaixa,baixa,6
media,baixa,baixa,baixa,baixa,baixa,baixa,alta,baixa,mediabaixa,baixa,6
baixa,mediabaixa,baixa,baixa,baixa,baixa,baixa,baixa,alta,mediabaixa,media,6
baixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,5
baixa,mediabaixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,mediabaixa,baixa,5
baixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,5
media,mediabaixa,baixa,baixa,baixa,baixa,baixa,alta,alta,mediabaixa,media,6
baixa,media,baixa,baixa,baixa,baixa,baixa,alta,alta,mediabaixa,baixa,5
media,mediabaixa,baixa,baixa,baixa,baixa,baixa,alta,baixa,mediabaixa,baixa,5
media,mediabaixa,baixa,baixa,baixa,baixa,baixa,alta,baixa,mediabaixa,baixa,5
media,mediabaixa,baixa,baixa,media,baixa,baixa,alta,baixa,media,baixa,5
baixa,media,baixa,baixa,baixa,baixa,baixa,alta,alta,baixa,baixa,5
baixa,mediabaixa,baixa,baixa,baixa,baixa,baixa,alta,alta,mediabaixa,baixa,5
baixa,mediabaixa,baixa,baixa,baixa,baixa,baixa,alta,alta,mediabaixa,baixa,6
media,baixa,alta,baixa,baixa,baixa,baixa,alta,baixa,baixa,baixa,5
baixa,baixa,baixa,baixa,baixa,baixa,baixa,alta,baixa,mediabaixa,baixa,5
media,mediabaixa,baixa,baixa,baixa,baixa,baixa,alta,alta,baixa,baixa,5
media,mediabaixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,mediabaixa,baixa,5
media,mediabaixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,mediabaixa,baixa,5
media,mediabaixa,baixa,baixa,baixa,baixa,baixa,alta,baixa,mediabaixa,baixa,5
baixa,baixa,baixa,baixa,baixa,baixa,baixa,alta,alta,mediabaixa,baixa,6
baixa,mediabaixa,baixa,mediabaixa,baixa,baixa,baixa,alta,baixa,mediabaixa,baixa,5
media,mediabaixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,mediabaixa,baixa,5
media,mediabaixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,mediabaixa,baixa,5
media,mediabaixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,mediabaixa,baixa,5
baixa,mediabaixa,baixa,baixa,baixa,baixa,baixa,baixa,alta,mediabaixa,media,5
media,baixa,alta,baixa,baixa,baixa,baixa,alta,baixa,media,media,6
baixa,media,baixa,baixa,baixa,baixa,baixa,baixa,alta,mediabaixa,media,7
baixa,mediaalta,baixa,baixa,baixa,baixa,baixa,baixa,alta,baixa,media,4
media,baixa,baixa,baixa,baixa,baixa,baixa,alta,baixa,mediabaixa,media,7
media,baixa,baixa,baixa,baixa,alta,baixa,alta,baixa,media,baixa,5
baixa,mediabaixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,mediabaixa,baixa,5
baixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,mediabaixa,baixa,5
baixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,mediabaixa,baixa,6
media,baixa,alta,baixa,baixa,baixa,baixa,alta,baixa,mediabaixa,media,7
media,baixa,alta,baixa,baixa,baixa,baixa,alta,baixa,mediabaixa,media,7
media,mediabaixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,5
media,baixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,mediabaixa,baixa,5
media,baixa,alta,baixa,baixa,baixa,baixa,alta,baixa,mediabaixa,media,7
media,mediabaixa,alta,baixa,baixa,baixa,baixa,baixa,baixa,mediabaixa,media,6
media,mediabaixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,mediabaixa,baixa,6
media,baixa,alta,baixa,baixa,baixa,baixa,alta,baixa,mediabaixa,media,6
media,mediabaixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,media,5
media,media,baixa,baixa,baixa,baixa,baixa,alta,baixa,mediabaixa,baixa,6
baixa,mediabaixa,baixa,mediabaixa,baixa,baixa,baixa,alta,baixa,mediabaixa,media,5
media,mediabaixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,mediabaixa,media,5
media,mediabaixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,mediabaixa,baixa,5
media,mediabaixa,baixa,baixa,baixa,baixa,baixa,baixa,alta,mediabaixa,baixa,5
media,mediabaixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,mediabaixa,baixa,5
media,baixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,mediabaixa,baixa,6
baixa,mediabaixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,mediabaixa,baixa,5
baixa,mediabaixa,baixa,baixa,baixa,baixa,baixa,baixa,alta,mediabaixa,baixa,5
media,mediabaixa,baixa,baixa,baixa,baixa,baixa,alta,baixa,mediabaixa,baixa,6
media,mediabaixa,baixa,baixa,baixa,baixa,baixa,alta,baixa,mediabaixa,media,4
media,baixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,mediabaixa,media,6
media,mediabaixa,alta,baixa,media,baixa,baixa,baixa,baixa,mediaalta,baixa,6
media,media,baixa,baixa,baixa,baixa,baixa,alta,alta,mediabaixa,baixa,5
media,baixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,mediabaixa,media,6
baixa,mediabaixa,baixa,baixa,baixa,baixa,baixa,baixa,alta,baixa,media,5
baixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,alta,mediabaixa,media,7
media,baixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,6
media,baixa,baixa,baixa,baixa,baixa,baixa,alta,baixa,mediabaixa,baixa,6
baixa,mediabaixa,baixa,baixa,baixa,baixa,baixa,baixa,alta,baixa,media,5
media,mediaalta,baixa,baixa,baixa,baixa,baixa,baixa,baixa,mediabaixa,baixa,6
baixa,mediabaixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,mediabaixa,baixa,6
baixa,mediabaixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,mediabaixa,baixa,6
baixa,mediabaixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,mediabaixa,baixa,6
baixa,mediabaixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,mediabaixa,baixa,6
media,mediaalta,baixa,baixa,baixa,baixa,baixa,baixa,baixa,mediabaixa,baixa,6
media,mediabaixa,baixa,baixa,media,baixa,baixa,alta,baixa,media,baixa,5
media,baixa,alta,baixa,baixa,baixa,baixa,alta,baixa,mediabaixa,media,6
media,mediabaixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,6
alta,baixissima,baixa,baixa,baixa,baixa,baixa,alta,baixa,mediabaixa,baixa,7
alta,baixissima,baixa,baixa,baixa,baixa,baixa,alta,baixa,mediabaixa,baixa,7
baixa,mediabaixa,baixa,baixa,baixa,baixa,baixa,alta,alta,media,baixa,6
baixa,mediabaixa,baixa,baixa,baixa,baixa,baixa,baixa,alta,baixa,baixa,5
media,mediabaixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,5
media,mediabaixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,6
baixa,mediabaixa,baixa,baixa,baixa,baixa,baixa,alta,alta,media,baixa,6
media,baixa,baixa,baixa,baixa,baixa,baixa,alta,baixa,mediabaixa,baixa,6
baixa,mediabaixa,baixa,baixa,baixa,baixa,baixa,alta,alta,mediabaixa,baixa,6
media,baixa,baixa,baixa,baixa,baixa,baixa,alta,baixa,baixa,media,5
media,media,baixa,baixa,baixa,baixa,baixa,baixa,baixa,mediabaixa,baixa,5
baixa,mediabaixa,baixa,baixa,baixa,baixa,baixa,alta,alta,mediabaixa,baixa,6
media,mediabaixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,mediabaixa,baixa,5
media,baixa,baixa,baixa,baixa,baixa,baixa,alta,baixa,mediabaixa,baixa,5
baixa,mediabaixa,baixa,baixa,baixa,baixa,baixa,baixa,alta,mediabaixa,baixa,5
media,baixa,alta,baixa,alta,baixa,baixa,baixa,baixa,media,baixa,5
media,baixa,baixa,baixa,baixa,baixa,baixa,alta,baixa,mediabaixa,media,7
media,baixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,mediabaixa,baixa,5
baixa,mediaalta,baixa,baixa,baixa,baixa,baixa,baixa,baixa,mediabaixa,baixa,4
media,mediabaixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,mediabaixa,baixa,5
media,baixa,baixa,baixa,baixa,baixa,baixa,baixa,baixa,mediabaixa,baixa,5
media,mediabaixa,baixa,baixa,baixa,baixa,baixa,alta,baixa,mediabaixa,media,5
media,baixa,alta,baixa,baixa,baixa,baixa,baixa,baixa,mediabaixa,media,7
media,media,baixa,baixa,baixa,baixa,baixa,alta,alta,mediabaixa,baixa,4
media,baixa,baixa,mediabaixa,baixa,baixa,baixa,alta,baixa,mediabaixa,media,8
baixa,mediabaixa,baixa,baixa,baixa,baixa,baixa,alta,alta,mediabaixa,baixa,6
media,baixissima,alta,mediabaixa,baixa,baixa,baixa,alta,baixa,media,media,6
media,mediabaixa,baixa,mediabaixa,baixa,baixa,baixa,baixa,baixa,mediabaixa,media,6
media,baixissima,alta,mediabaixa,baixa,baixa,baixa,alta,baixa,media,media,6
media,baixa,alta,mediabaixa,baixa,baixa,baixa,alta,baixa,mediabaixa,media,5
media,mediabaixa,baixa,baixa,baixa,baixa,baixa,alta,baixa,mediabaixa,baixa,5
media,mediabaixa,baixa,mediabaixa,baixa,baixa,baixa,alta,alta,mediabaixa,baixa,5
media,mediabaixa,baixa,mediabaixa,baixa,baixa,baixa,baixa,baixa,mediabaixa,media,6
baixa,mediabaixa,baixa,baixa,baixa,baixa,baixa,alta,alta,mediabaixa,baixa,6
media,baixissima,alta,mediabaixa,baixa,baixa,baixa,alta,baixa,media,media,6
media,baixa,baixa,mediabaixa,baixa,baixa,baixa,alta,baixa,mediabaixa,media,8
